Column 1;Aux;Column 2;Column3;Recuento;Column 4;Column 5;RTs
2020-03-24T06:34:50Z;2020-03-24T06:34:50Z;2020-03-24T06:28:00Z;#FelizMartes;554;http://twitter.com/search?q=%23FelizMartes;%23FelizMartes;0
2020-03-23T05:16:39Z;2020-03-23T05:16:39Z;2020-03-23T05:11:44Z;#FelizLunes;549;http://twitter.com/search?q=%23FelizLunes;%23FelizLunes;0
2020-03-19T06:31:13Z;2020-03-19T06:31:13Z;2020-03-19T06:22:57Z;#FelizJueves;524;http://twitter.com/search?q=%23FelizJueves;%23FelizJueves;0
2020-03-22T07:01:45Z;2020-03-22T07:01:45Z;2020-03-22T06:58:00Z;#FelizDomingo;501;http://twitter.com/search?q=%23FelizDomingo;%23FelizDomingo;0
2020-03-21T09:49:34Z;2020-03-21T09:49:34Z;2020-03-21T09:46:53Z;#FelizSabado;474;http://twitter.com/search?q=%23FelizSabado;%23FelizSabado;0
2020-03-18T12:54:18Z;2020-03-18T12:54:18Z;2020-03-18T12:47:19Z;#FelizMiercoles;451;http://twitter.com/search?q=%23FelizMiercoles;%23FelizMiercoles;14041
2020-03-20T07:35:05Z;2020-03-20T07:35:05Z;2020-03-20T07:31:46Z;#FelizFinde;440;http://twitter.com/search?q=%23FelizFinde;%23FelizFinde;0
2020-04-04T10:51:54Z;2020-04-04T10:51:54Z;2020-04-04T10:46:53Z;Felipe González;225;http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22;%22Felipe+Gonz%C3%A1lez%22;0
2020-03-20T07:35:05Z;2020-03-20T07:35:05Z;2020-03-20T07:31:46Z;#FelizViernesATodos;207;http://twitter.com/search?q=%23FelizViernesATodos;%23FelizViernesATodos;0
2020-03-19T05:31:04Z;2020-03-19T05:31:04Z;2020-03-19T05:22:59Z;Felipe VI;167;http://twitter.com/search?q=%22Felipe+VI%22;%22Felipe+VI%22;81545
2020-03-30T13:56:49Z;2020-03-30T13:56:49Z;2020-03-30T13:55:33Z;#FelizSemana;145;http://twitter.com/search?q=%23FelizSemana;%23FelizSemana;0
2020-03-18T20:07:09Z;2020-03-18T20:07:09Z;2020-03-18T20:03:05Z;Feliz Navidad;110;http://twitter.com/search?q=%22Feliz+Navidad%22;%22Feliz+Navidad%22;0
2020-03-25T06:55:45Z;2020-03-25T06:55:45Z;2020-03-25T06:48:54Z;#FelizMiércoles;94;http://twitter.com/search?q=%23FelizMi%C3%A9rcoles;%23FelizMi%C3%A9rcoles;0
2020-03-21T06:48:03Z;2020-03-21T06:48:03Z;2020-03-21T06:46:48Z;#FelizSábado;66;http://twitter.com/search?q=%23FelizS%C3%A1bado;%23FelizS%C3%A1bado;0
2020-03-18T23:30:05Z;2020-03-18T23:30:05Z;2020-03-18T23:25:10Z;#FelizDiaDelPadre;28;http://twitter.com/search?q=%23FelizDiaDelPadre;%23FelizDiaDelPadre;0
2020-05-02T22:38:08Z;2020-05-02T22:38:08Z;2020-05-02T22:34:12Z;#FelizDiadeLaMadre;28;http://twitter.com/search?q=%23FelizDiadeLaMadre;%23FelizDiadeLaMadre;0
2020-03-21T10:50:05Z;2020-03-21T10:50:05Z;2020-03-21T10:46:54Z;Feliz Sábado;18;http://twitter.com/search?q=%22Feliz+S%C3%A1bado%22;%22Feliz+S%C3%A1bado%22;0
2020-05-08T15:44:45Z;2020-05-08T15:44:45Z;2020-05-08T15:38:41Z;#FelizFinDeSemana;18;http://twitter.com/search?q=%23FelizFinDeSemana;%23FelizFinDeSemana;0
2020-04-11T20:40:18Z;2020-04-11T20:40:18Z;2020-04-11T20:37:16Z;Feliz Pascua de Resurrección;17;http://twitter.com/search?q=%22Feliz+Pascua+de+Resurrecci%C3%B3n%22;%22Feliz+Pascua+de+Resurrecci%C3%B3n%22;0
