Column 1;Aux;Column 2;Column3;Recuento;Column 4;Column 5;RTs
2020-09-23T20:25:29Z;2020-09-23T20:25:29Z;2020-09-23T20:20:19Z;#FelizMartes;554;http://twitter.com/search?q=%23FelizMartes;%23FelizMartes;15391
2020-09-28T05:19:37Z;2020-09-28T05:19:37Z;2020-09-28T05:11:36Z;#FelizLunes;549;http://twitter.com/search?q=%23FelizLunes;%23FelizLunes;0
2020-09-24T06:36:44Z;2020-09-24T06:36:44Z;2020-09-24T06:31:55Z;#FelizJueves;524;http://twitter.com/search?q=%23FelizJueves;%23FelizJueves;0
2020-09-27T06:55:28Z;2020-09-27T06:55:28Z;2020-09-27T06:54:47Z;#FelizDomingo;501;http://twitter.com/search?q=%23FelizDomingo;%23FelizDomingo;0
2020-09-26T06:29:21Z;2020-09-26T06:29:21Z;2020-09-26T06:24:13Z;#FelizSabado;474;http://twitter.com/search?q=%23FelizSabado;%23FelizSabado;0
2020-09-23T20:25:29Z;2020-09-23T20:25:29Z;2020-09-23T20:20:19Z;#FelizMiercoles;451;http://twitter.com/search?q=%23FelizMiercoles;%23FelizMiercoles;40802
2020-09-25T07:03:43Z;2020-09-25T07:03:43Z;2020-09-25T06:58:12Z;#FelizFinde;440;http://twitter.com/search?q=%23FelizFinde;%23FelizFinde;0
2020-09-23T20:25:29Z;2020-09-23T20:25:29Z;2020-09-23T20:20:19Z;Felipe González;225;http://twitter.com/search?q=%22Felipe+Gonz%C3%A1lez%22;%22Felipe+Gonz%C3%A1lez%22;0
2020-09-25T07:03:43Z;2020-09-25T07:03:43Z;2020-09-25T06:58:12Z;#FelizViernesATodos;207;http://twitter.com/search?q=%23FelizViernesATodos;%23FelizViernesATodos;0
2020-09-24T09:40:00Z;2020-09-24T09:40:00Z;2020-09-24T09:36:58Z;Felipe VI;167;http://twitter.com/search?q=%22Felipe+VI%22;%22Felipe+VI%22;0
2020-10-06T05:51:29Z;2020-10-06T05:51:29Z;2020-10-06T05:43:04Z;#FelizSemana;145;http://twitter.com/search?q=%23FelizSemana;%23FelizSemana;0
2020-11-01T02:57:41Z;2020-11-01T02:57:41Z;2020-10-28T14:41:36Z;Feliz Navidad;110;http://twitter.com/search?q=%22Feliz+Navidad%22;%22Feliz+Navidad%22;0
2020-10-14T06:19:42Z;2020-10-14T06:19:42Z;2020-10-13T10:13:16Z;#FelizMiércoles;94;http://twitter.com/search?q=%23FelizMi%C3%A9rcoles;%23FelizMi%C3%A9rcoles;0
2020-12-15T10:25:35Z;2020-12-15T10:25:35Z;2020-12-14T11:51:45Z;Felices Fiestas;67;http://twitter.com/search?q=%22Felices+Fiestas%22;%22Felices+Fiestas%22;0
2020-10-03T08:34:59Z;2020-10-03T08:34:59Z;2020-10-03T08:27:11Z;#FelizSábado;66;http://twitter.com/search?q=%23FelizS%C3%A1bado;%23FelizS%C3%A1bado;0
2020-12-22T11:08:06Z;2020-12-22T11:08:06Z;2020-12-20T19:54:20Z;Feliz 2021;48;http://twitter.com/search?q=%22Feliz+2021%22;%22Feliz+2021%22;13723
2020-12-04T04:24:47Z;2020-12-04T04:24:47Z;2020-11-04T13:14:12Z;Feliz 4;19;http://twitter.com/search?q=%22Feliz+4%22;%22Feliz+4%22;0
2020-11-06T07:08:16Z;2020-11-06T07:08:16Z;2020-10-08T09:10:35Z;#FelizFinDeSemana;18;http://twitter.com/search?q=%23FelizFinDeSemana;%23FelizFinDeSemana;0
2020-12-28T13:18:57Z;2020-12-28T13:18:57Z;2020-12-26T12:43:06Z;Feliz Año;18;http://twitter.com/search?q=%22Feliz+A%C3%B1o%22;%22Feliz+A%C3%B1o%22;58934
